label,text
joy,"after attending a song contest proposed by a band called chyne we \( 6 of us \) waited for the members of the band to greet us in front of the stage we went out after a few minutes as it was time to close the hall we had been waiting at the entrance hall for ten minutes when three of the band members came out they were very excited to see us , one of them was so excited that he had tears in his eyes we felt very warm and close to each other they took us back into the hall and we talked freely we were together for about an hour and during this time we felt that they were very sincere"
joy,"my boyfriend suffered form ill health for some months , this week the physician told him that he was restored to health"
joy,"unexpectedly i met some persons who i like very much spontaneously they invited me and integrated me within their group , although it was late in the evening"
joy,succeeding in helping others
joy,i took a math midterm and i knew i did really well and it was friday so i felt great joy because the week was over and i did well on a test
joy,when i met my mother after not having seen her for three years
joy,hear my name on the list attending the english lectures
joy,"spending the nitht with close friends , after being away \( out of nijmegen \) for a while"
joy,last year i passed the b a exams in psychology in which i stood first in my class thus i got the first prize from the college i was most happy to tell all this to my parents and friends
joy,when i passed the b a exams with first class results
joy,"my friend replying to my letter and again saying he was attracted to me and suggesting we write , talk and get together and see how things went and his suggestion that i could ring and doing that it was really good though really insane conversation"
joy,my cousin asked me to be a bridesmaid for her this made really happy because i was adopted into the family and her asking me made me realise that she saw me as a cousin and not just another person there were other cousins she could have asked but she asked me
joy,i went home and visited with my family and friends
joy,when i was admitted to the bulgarian state conservatoire
joy,in summer when i was sailing with friends in greece i felt joy
joy,finding out that i am not ill \( not seriously \)
joy,i had the unexpected possibility to see a friend i like very much
joy,article published in the college newspaper
joy,i spoke with a friend on the phone who i have n't seen in many years it was a joyful event to talk to him
joy,"i had been away from home for a long time and when i came home i was delighted it was wonderful to see familiar , dear people and i was rejoycing in advance i had been feeling very lonely"
joy,when i won my car
joy,the first time i really fell in love with a girl
joy,i met my girlfriend on the way and she joyfully welcomed me on the way home
joy,i had gone camping with my old classmates and there was a storm we were in a flurry but at that time i felt the love and concern of my friends
joy,"when i got admission in m sc \( i \) organic chemistry , i was very happy"
joy,"i had a singing lesson , but i was not very good the last exercise was singing scales i did that very well and my teacher seemed satisfied"
joy,when my parents complimented me very nicely on something
joy,when i received my te score and my acceptance from university it had been a goal since i left the bank a year earlier
joy,a friend i had missed very much came to see me unexpectedly
joy,when i was accepted as a student of psychology here at gutttenburg
joy,when a cousin of mine was discharged from the hospital after a long illness i had thought that this illness would never end
joy,my son was born
joy,doing unexpectedly well in an examn
joy,"when i heard that a good friend , who had been abroad for a long time , would come and see me"
joy,when i knew the feelings of a beloved person
joy,first time i slept with my present girlfriend had been best friends for a year but had been hesitant about getting involved emotionally
joy,i was happy to hear that my sister had won a prize at running competition
joy,"unexpected visit by a close friend , whom i had n't seen for half a year"
joy,made a wonderful driend who understands me
joy,i was studying in the library and a class mate told me that she had obtained a grant to work in the library
joy,"when i learned , after the ecography , that my mother was expecting a baby girl that was what i wanted"
joy,"when my red cheeked , content child runs to meet me in the yard of the kindergarten and gives me a moist kiss on my cheek"
joy,when my boyfriend and i made up
joy,i felt joy when i heard my name being called on the radio as one of the students who had passed the interview of nursing and was selected to start nursing
joy,"when i dived among sharks and the brightly coloured fish on the outer reef of tvavni , fidgi"
joy,our basketball team is undefeated in league play \( 4 0 \) currently
joy,my girlfriend sent me a letter with a shiny picture in it
joy,when we were able to afford a new sofa a leather one which cost sek 20000 i had waited for it for 2 3 years
joy,on december the 28th i was filled with joy when i was told by my bosses that i had been selected to attend a course at the lilongwe school for health scienced in lilongwe
joy,"joy of giving birth , and of sharing that joy with my husband moments of complete happiness and feelings of so much love"
joy,when i get a hug from someone i love
joy,when i passed a very important exam
joy,"when i went to the pub with a large group of friends , we drank and danced"
joy,getting a part time job
joy,finally being asked by someone to a banquet
joy,today i did a lot better on my architecture project than i expected
joy,the time i qualified to enter secondary school
joy,the high school entrance exam
joy,i felt joy when i entered at the university
joy,celebrations on the graduation day with the orchestra playing in the garden \( i am a part of this orchestra \)
joy,when after 10 months of national service i was downgraded and did not have to do the remaining 5 months
joy,when my first child was born
joy,when i entered at the university
joy,"the weekend after i argued with my parents i went home again and they could n't have been nicer as soon as i walked in , mum kissed me , then dad , and thanked me for the birthday presents i 'd left for him , including a very sentimental birthday card"
joy,my joy was the joy of meeting again my husband came home after having been away for weeks \( for work \) i was on the railway station to meet him
joy,"hearing that i had been successful in getting a position whereby my financial , physical , spiritual and emotional needs will be well catered for this position fulfils a lot of my aims for the last five years of my life"
joy,when in the end of a semester i got the approval in a matter that i judged very difficult
joy,a friend of mine suggested that i become a film extra the idea seemed very funny to me and my reaction seemed rather outlandish to the others
joy,getting a letter from a friend who did not write for a long time
joy,i got a present from a great friend \( a dog \)
joy,when the whole family gets together for a one week holiday everybody feels free and the trip is well planned it works out well and we enjoy ourselves
joy,i started a new branch of studies after having failed a former one when i got back my exam papers i was very happy to know that i almost had full marks
joy,i was very happy when i passed the b a with first class marks
joy,when i was at a party i met an old friend from an adult education course we had not met for 2 years but had both thought a lot about each other a wonderful experience
joy,i found a human treasure that i desired and got immediately i did n't think about anything when i touched him i imploded but i am whole
joy,"i feel unbelievably happy about the relationship between my boyfriend and me , it is a reoccurring feeling"
joy,i stopped working \( had a boring job \)
joy,"when i was in form 4 , at secondary school , i was elected as a school library assistant and also the leader of catholic students , so i felt very joyous"
joy,last summer i achieved someting that i had been wanting for a long time
joy,receiving a letter form a girl that means a lot to me emotionally
joy,"my sister gave birth to twins , healthy ones"
joy,"when i was accepted as a student at the college , not having thought it possible"
joy,"when i got home from a pleasant trip abroad , i got to know that i had been accepted at university"
joy,listening to the opening bars of tchaikovsdy 's symphony no 2 fourth movement at my sister 's wedding
joy,you told me psychology can help people to be happier
joy,talking with someone i admire a lot
joy,when i met a good friend of mine after a long time
joy,"when after an overwhelming anxiety and enquiry , i understood something about why i exist and what my task in life is"
joy,"that was soon after the results of the interview which nearly 9 , 000 people attended in all the three regions of malawi my joy came after hearing on the radio that i was one of the people selected to undergo the medical assistant training at the l s h s"
joy,"after my marriage i received the b sc results by post , i was very happy to learn that i had got very good marks first class"
joy,"one evening , i was with a group of friends having a talk there was a very trustful and joyful atmosphere"
joy,i feel a sense of joy whenever i complete a piece of writing which is part of my work intense reading also brings me joy i also feel happy when i reminiscent about them
joy,finding out that the person i love understands me
joy,i was seriously injured in a road accident the very first steps i took with only one crutch to support me i felt so good i enjoy being alive
joy,i was very joyful when i heard that i had passed the standard 8 exams the day i heard the news was the day i celebrated my birthday
joy,"after having at last finished my master 's thesis , i felt great joy and relief i had been haunted by the thesis during the whole of my studies"
joy,"when the bank let me borrow some money this winter , after my grant was spent"
joy,when i got a small present form a person i like very much
joy,"to be able to prepare myself better for an important examination , i did not spend the nitht with my girl friend but in the students' hostel i had not done that for months the day when i had the examn , somebody knocked at my door at seven o'clock in the morning my girl friend who likes sleeping late , had come to be able to be with me"
joy,felt joy a few years ago when i was away on holiday and sat very close to my best friend looking straight into the eyes
joy,i felt joy when i saw my daughter after a separation of twenty days
joy,"passing an examination , although i felt sure i had failed"
joy,when i got the scholarship i was very happy as the finacial burden of the family was reduced
joy,"when i passed the last exam , which i had doudts about"
joy,"when i have achieved what i wanted to achieve , i feel the above stated emotion also when i am sucessful"
joy,helping in the nursery school
joy,"when i get something that seemed very hard like getting a job , a boyfriend , etc a specific sutuations , was when i started to date a boy whom i liked for a long time"
joy,passed the last exam
joy,when i was making music together with my friend it sounded very good and we were very satisfied
joy,"my first feeling of falling in love coming across a person who made me feel love , happiness , joy , giving me a new and beautiful future , who made me dream"
joy,when i took my entrance exams successfully and also when i got my school leaving certificate because the delivering ceremony was extremely official
joy,when it appeared that i was not pregnant when i was several weeks overtime
joy,"when i got a stereo walkman from my father when he had finacial difficulties i thought that although he promised to give me that present , he was not obliged to do so"
joy,when i was accepted as supervisor for a student teacher the notification came by post
joy,getting sent on a company expense trip to another state to work for a week at that plan
joy,when i got my results \( i had made it to the second year \)
joy,a friend of mine often had difficulties with her parents once she had a child she had a better relationship with them
joy,i felt happy when my mother borrowed me the car in order to let me go out alone for the first time
joy,"for my parents anniversary , we hosted a party and we were very happy"
joy,when i passed my form three exams
joy,this came in when at one time i met a girl who i did n't expect to fall in love with me fortunately i tried my luck and she accepted my proposal at the same time she was giving me a lot of money which was just like a miracle to me
joy,blank
joy,when i found out that i can travel with my best friend
joy,"when my daughter gave her solo dance performance in poona and there was a big applause , i was overjoyed"
joy,"in order to be admitted to my final examination , i had to pass two examinations as i had not studied very much , i resigned myself to be left behind nevertheless i succeeded in these examinations"
joy,i bought a christmas present for my girl friend on my way home i was really glad about having found such a suitable thing
joy,passing a very difficult examination which i did n't expect mce
joy,when some friends of mine asked me to go camping with them for a fortnight
joy,someone \( a boy \) paid special attention to me
joy,i unexpectedly got a present from my father
joy,"i made the college entrance examinations for p u c it was what i wanted more when the first list came out i got frustrated i was n't in when the second list came out without hopes i started to read the newspaper and my name was thre i was in the bus and felt like crying so that everybody could hear me the cry was hold , and 1982 became forever a mask in my life"
joy,i met a girlfriend again after not seeing her for several months i saw her in a discotheque we do not like discotheques but we went there because we knew we would meet there
joy,when i heard that i had achieved a place in form i
joy,when i gave birth to my son and saw that he was alive and that i had managed it well he was born a month too early with a malfunctioning lung this happened a year ago
joy,"in a day when at work , in school , and relationships came out as i wanted , and i was recognized in my work"
joy,"as the time to get the results drew near i became more and more anxious my friend called me and said , you have passed my heart was full of joy"
joy,when i received my promotion letter
joy,"when i was able to buy my new car , after lots of problems"
joy,china winning the asian olympic games \( tv \)
joy,every year during carnival i am very joyful i have an intense feeling of happiness then
joy,joy for me is when all my family gather around home for special occasions as christmas etc it really gives me joy to see my family and relatives and to observe natures productivity process which have been going on for centuries
joy,found money on the road and returned it to the owner through police
joy,"winning a tight tennis match one set to play , and the team was behind by 3 games we won the last set 6 2 and won the match by a game"
joy,"when i passed the whole weekend with my boyfriend , coming back home on sunday afternoon he met my parents for the first time"
joy,"when i passed standard 8 exams i jumped , rolled over the ground"
joy,after a weekend at a seminar i saw my husband again i hurried home hoping he would be there we embraced i enjoyed feeling his body
joy,when i began to date a boy with whom i am till now this was 16 months ago
joy,"i was very glad when i learned i was a student already i heard about it over the phone , i did n't believe it at first"
joy,i was in grade 7 we had an inter house volley ball competition in luapula i was the youngest member of the team and i scored the winning goal using my head i jumped up with joy and fell down
joy,"when i worked as an au pair girl in london , i received a call from a good friend who told me that she was in london too and wanted to see me i was very glad after that call and especially when i saw her"
joy,meeting with two of my friends i had not seen for 15 years they were special people to me
joy,when i attended my cousin 's 31st birthday
joy,"when my lover and i felt like we had gone full circle and our relationship was new , fresh , vital etc once again"
joy,when my sister after a history of one abortion and one stillbirth gave birth to a perfectly healty boy
joy,"receiving close friends form abroad , whom i had n't seen for years"
joy,"when i passed the driving test already on the first try , although i felt more and more uncertain as the day came near"
joy,when i passed the university entrance exam
joy,before christmas i got to know a girl but our relationshop could not consolidate before the holiday therefore it was a big surprise to get a carefully hand made present from her our relationship grew closer
joy,when my last year 's second semester results came through i was ecstatic
joy,"when i finished my exams after 12th grade , i was worried about getting a t e score high enough for physiotherapy when i found that i had been accepted i was ecstatic , or more appropriately , could jump for joy"
joy,my father stayed abroad for one year he does not like to write letters because he makes ortographic mistakes i never had a good relation to him he wrote me a letter in which he said that he loved me
joy,i felt joy when my boyfriend proposed to me in marriage
joy,when i was accepted at unza
joy,when passing the final examinations for social worker
joy,"when i got through the examination for my driver licence , and when i finished i knew i had passed it"
joy,scoared a goal in a football match
joy,when my son was born
joy,when planning to marry
joy,discussing psychology with my friends before the lecture
joy,"realizing one 's desire , an experienced feeling of satisfaction from the realization of one 's desires and aims"
joy,"when i met a girl and asked her for a date and she agreed , \( i thought this girl would never like me \) , this was an emotion of joy"
joy,i received a letter from a friend whom i was missing
joy,i felt happy when i learnt that i had qualified for the grade eight
joy,reunion with my wife after a legal separation
joy,when i was admitted to the university
joy,while dancing in a restaurant last week
joy,"a meeting with the family and the friends i felt dear and loved , sharing the gladness of being together at a birthday"
joy,getting into this university to do medicine
joy,going to a friend 's wedding and seeing many of my old friends whom i had known before i moved to a new district five years previously
joy,after much trouble getting together in the first place my boyfriend and i celebrated our first anniversary
joy,when wayne and sue \( close friends \) were announced our guardians at ther wedding
joy,when my boyfriend and i went out for a dinner and subsequently went to his family we had a very nice evening
joy,i 'd just got the top mark in an exam
joy,"when on holiday in greece i called my best friend , she told me she passed the examinations and that she had been admitted to the study for speech therapy"
joy,"unofficially i was informed about my results of the final examination of the secondary school a teacher wrote them up for me when i went outside , i started crying with joy"
joy,i won the country ski championship
joy,i felt vvery happy when i was accepted at unza for my studies i had not expected this as i had been ill during the exams
joy,"when i received my report card in c o u i was afraid of obtaining low marks , but they were much higher than expected"
joy,meeting a loved man
joy,i met my present boyfriend on a boat trip to england we had said that we would call each other when we got back to sweden \( we were not going to the same town in england \) as soon as i walked in he called from england as he could not wait till he came home
joy,i passed an exam which i was not sure at all to pass i rejoyced at the result because the possibility of continuing my studies depended on it
joy,"it was saturday , my duties were over for a few hours and i could at last be with the people i wanted to see"
joy,when i saw my family after a separation of one year
joy,had a letter from my father \( usually he does not write to me \)
joy,getting my accentance letter from cal
joy,when i passed the grade 7 exam
joy,when my friend told me that he would come and meet me in a moment
joy,when i was finally able to return to a job that i enjoyed doing after several months absence \( i was not needed during this time \)
joy,"a person with whom i had been on bad terms , gave me a present we became reconciled"
joy,my father had an operation which lasted for hours we were all very worried but it was successful
joy,"this happened when i was in the 10th standard the paddy crops were in a bad shape as it had not rained and there was no water in the well , so i was in a very sad mood i came to the conclusion that i would ignore the paddy field , just 12 hours after this it rained for one hour this was a very tense time and the rain brought me tremendous pleasure"
joy,"i got a letter from my best friend , whom i had not heard from for a long time \( a good letter \)"
joy,"when i passed the b a exams with 1st class i was the first in the family to have got a 1st class , so all the family members were very happy and they gave me the opportunity to study further"
joy,i received the message that i 'd been accepted at the school where i really wanted to go
joy,"after one year of searching , my friend and i have found a flat we are able to pay for"
joy,during my high school time i succeeded to play a concert of mozart on the piano when i gave my first performance i succeeded to play it very well
joy,i worked at a lawyer 's office during summer and i got a very good reference from him
joy,when my boyfriend last told me he loved me after i gave him an impulsive kiss
joy,"my 21st birthday celebration , when i cut the cake and received the presents"
joy,"when , after a long time , i saw a girl with whom i was in love"
joy,when i was at the end of term party last week and had fun was happy and sang and drank only soft drinks it is possible to have a good time without alcohol
joy,when i got the first compound through column
joy,got through first semester university
joy,"when a study tour got confirmed , i was happy all the time till the tour began"
joy,i was filled with joy when i heard that i had passed my secondary school leaving certificate exam
joy,"walking along the beach with a friend \( another girl \) , talking , picking up shells , laughing , chasing seagulls"
joy,when i learnt that i had been admitted to the university
joy,i went to visit friends and it was very companionable
joy,"i was in a dancing tavern and the atmosphere was one of waiting for the end of the world suddenly people began dancing wildly , inspired by the band an unbelievable experience:wonderful that even finns sometimes flare up and forget to think what others are thinking of me it was delightful to dance to one 's heart content"
joy,i felt glad when i took the rather difficult organic chemistry examination
joy,when india won the prudential cup by beating west indies in the final match and became the world cricket champion west indies was the strongest of the eight countries which participated in the competition
joy,"when i got an unexpected letter from a guy , who had been my school mate"
joy,when i was finally qualified for my profession
joy,this happened when it was finally confirmed that i had stood first in the university for the m a exams a few days before the official results were declared a clerk had brought the results unofficially so i had been expecting the results but the confirmation allowed me to legitimately feel happy at my success
joy,i received an unexpected b on an engineering midterm i did not study nearly as much as i should have and it was a difficult test
joy,i was talking to a friend and he said something which was very funny
joy,a friend of mine told me that i had passed the entrance exam to the university
joy,won a prize for effort
joy,when i pass an examination which i did not think i did well
joy,i was best man at my brother 's wedding a year ago
joy,"to have a friend who i did n't see for months , and under the circumstances that i met him made me feel happy , and perhaps because it has been one of the good things that i learned with this friend"
joy,after each successfully passed exam i am happy
joy,when i recently got an appartment in central gottenburg
joy,being chosen to do your experiment with aphasia
joy,hearing my girlfriend accept my offer of marriage
joy,it was when a friend took me to a place and gave me as a gift my astrologycal map with the explanations of a psychologist
joy,"achieving my goal at a swim meet i worked toward the goal for 9 yrs i was capable of achieving it , but i did n't know when"
joy,six months ago when i got acquaintanced with a person whom i trusted infinitely and from whom i expected help and friendly feelings with him i found much in common in our views and in our fate
joy,thought had discovered true love
joy,when i was with someone i love
joy,when i was admitted to a language school on the day when i was informed by a message and my parents congratulated me
joy,a boy i had been admiring so much asked me to go out with him
joy,"when i passsed the m s c board exams with first class , which i had not expected"
joy,"a few days ago , i hitch hiked to arnhems with a friend everything went well: they picked us up very quickly , the sun was shining , i was feeling free and , for the first time after long time , happy i really had the feeling that i was living at full speed"
joy,when my father was saved from a severe work accident
joy,first public speaking
joy,my boyfriend made me a proposal
joy,after the funeral of an acquaintance i felt very depressed that feeling turned into joy when i heard that i had achieved a good grade for an examination
joy,my father promoted to be a professor
joy,when i told my girlfriend a joke openly and frankly
joy,"the day i received the key of my apartment and we could enter in it , for my fianct and i had bought it yet in plans , and it seemed to us that this was almost impossible to happen"
joy,when my brother who has been out of new zealand for 10 years came to visit with his wife which none of our family had previously met
joy,when i was informed that i had been accepted as a student of psychology
joy,i received a letter of acceptance from unza
joy,when the parents of my girlfriend gave permission to spend our holiday together
joy,achievement of a task by a friend who had begun a new job she was n't confident of handling the situation so was thinking of leaving the job only after 2 days employment
joy,reading a nice book and talking about it to my friend
joy,i shot the decisive goal in an ice hockey match
joy,when a friend of me came for an unexpected visit
joy,"when the results of the part i exams came out i felt tremendous joy in my heart the results came out after a long period of worry and anxiety , so it gave me endless relief and joy"
joy,i had a dream:i had a very close friend who had several stone houses in the new territories \( villages \) but they did not have much furniture he took me to see his fields \( i had never seen them before \) and there were several inches of clear water on which the sunshine was reflected i wanted to sit among the short green plants in the fields but was afraid of treading the plants to death my friend said they will not die and i sat down happily and my trousers did not get wet
joy,found out that me and my best friend are both chosen for the english lectures
joy,getting a phone call from a very old friend
joy,going to a concert
joy,"i had a quarrel with my fianct when he admitted his fault , everything was allright it was then for the first time that he surprised me with coffee and cake and a bunch of flowers"
joy,"i was selected to come here \( university , college \) when i was least expecting it"
joy,"on my birthday , when i was given my presents"
joy,"on my birthday , when a very close friend sent me a huge bouquet of flowers"
joy,when i received some good news:i obtained an amount of money i needed to buy something i had been planning to buy
joy,"the day i got to know that i would get a shared dwelling with my boyfriend my parents place was getting a little crowded with my growing bother wanting a room to himself i first felt doubt , then joy , but also sadness the feeling of joy was the strongest"
joy,when i fell crazily in love with a beautiful girl and she returned my love
joy,going to a concert
joy,when i passed an exam which i had failed last year
joy,when i passed the 12th standard board exams
joy,when i was told that they had got tickets for me for a film marathon i wanted to see
joy,when i heard my name being announced on the radio that i had been successful in an interview for admittance for a medical assistant training course i was really happy and i enjoyed myself by dancing to music from the radio cassette
joy,when i was admitted to a certain school as a student
joy,"when i received the letter informing that i had been accepted to be a chinese university student , i was excited as i had longed for it"
joy,"for a few days i felt very miserable , distressed and listless , with crying fits when this was over i felt very happy , although there was no special reason"
joy,the day i was happiest was the day when i received a phone call from eve 's weekly to inform me that i had won the first prize of the all india essay competition i had won this prize when i was an under graduate when even post graduates had participated i had been judged by eminent judges and political scientists
joy,my boyfriend returned after a long absence
joy,when my one year old son gives me a spontaneous kiss
joy,after a long time i saw my boy friend again
joy,"when i was with the girl i love very much , for the graduatiion ball"
joy,when i was told that i could take a week off and go for a trip with my friends
joy,when my father managed to begin a new life after the divorce from my mother resulting in a new little sister for me
joy,receiving a nice present from my parents
joy,got a present from my friend for my birthday
joy,when i passed the b a exams with first class results
joy,my girlfriend gave me some feed back and i understood that it meant that our relationship was about to turn even closer
joy,when i was appointed to position of trust in a group set up to change the working environment
joy,after my girl and i talked things over our relationship changed and became positive a diificult time turned into pleasant one
joy,china winning the asian olympic
joy,the last time i had sex
joy,when seeing a friend that i had not seen in a long while
joy,the day the real madrid team of basket ball qualified for the final at athens
joy,"coming to this lecture and listen to you talking about feelings , i am so happy that foreigners have the same feelings as chinese"
joy,when i got the loan for my studies
joy,i was very happy when i found out that i had passed with flying colours and that i had made it to the university
joy,"when two female classmates and i were having lunch , we chatted and cracked jokes , i was very happy however , i felt that i may have said something inappropriate which might cause them to have a bad impression of me"
joy,"a friend which i had n't seen for years , sent me a small present"
joy,when i attended the concert of a pop singer
joy,for the first time in my life telling someone i loved them
joy,"after being away on a holiday for 2 months , a friend , who lived interstate , had remembered when i 'd get back and phoned to welcome me home on the night of my arrival"
joy,the birth of my daughter
joy,when i learnt that i could do further studies at the chinese university
joy,on meeting an old friend of mine
joy,when i got a wedding ring of diamond from the boy i loved
joy,this emotion happened when i passed my primary school examination and was selected for secondary school
joy,after making an effort to enter at university i found a course and a school of higher education which were compatible with my experience and potentiality
joy,i came across a friend with whom i had lost touch for a long time
joy,"i sensed a strong feeling of joy when in the plant , at my working place , i got a message that i was admitted as full time student at the higher agricultural institute"
joy,my first kiss
joy,i was very happy when i received the year end results as i was worried about how well i had done i was very happy to know that i had passed
joy,the day i finished my military service
joy,watching the asian olympic game \( china winning \)
joy,when i saw a good friend again after not having seen her for a long time
joy,"in the underground 's escalator , a youngish bum asked me for money although i did not give him anything , the fellow told me that i was really good looking a man who was in front of me also turned to look at me"
joy,a few weeks back i received a christmas card from a friend in england she had not written to me in a very long time but it showed that she still remembered me
joy,i felt joy when my two twin sisters were born
joy,"getting my kitten , found at work several years ago , taking him home in a box on my motorbike , showing it to my defacto"
joy,"i had a very close friend who went to canada after her f b , his departure was unavoidable when he came back during the summer holidays i was very happy as nothing had changed between us"
joy,"when i passed my driving test , as it was the fifth time that i had taken this test"
joy,"being reunited with my family after not having seen them for 5 years , at the airport sheer elation at getting through the paper work collecting bags and the anticipation of coming through the customs gate"
joy,on my birthday a friend came to see me unexpectedly and brought me flowers i usually do not see her very often
joy,"i acted in an english play in college and got the best actress award , while our play got the first place"
joy,at church camp when i accepted christ into my life and so did my friend
joy,"my boyfriend and i were getting dressed up and putting make up on to go to a halloween party we were dressing up to be two mimes it was very enjoyable and i thought we looked really good , it was an accomplishment we were alone in his house"
joy,"when i hooked a girl in kitwe she was very beautiful for my standards , a rare bird of this kind accepted me as a boyfriend"
joy,"i had a summer job in sweden , and my boyfriend came to meet me on my birthday"
joy,when i heard what mark i had got at the entrance examination and i realized my admittance to the university was almost certain
joy,naturally when i got myself discharged this was my second birthday
joy,renewed contact with an earlier friend
joy,when i learned i was admitted to study what i wanted most floriculture \( this is a narrow specialization from the general one \)
joy,being in love for the first time
joy,when i felt that my love was returned
joy,one of my friends and i had breakfast in a restaurant it was spontaneous and lots of fun
joy,good news about a sick relative
joy,"when i heard that a close relative of mine had given birth at a very young age , in a very remote area and had had very few problems"
joy,"receiving a postcard form my sweetheart who was abroad on vacation , not being at all sure if he would write me or not"
joy,i met again a very good friend whom i had not seen for a long time
joy,"i was spending the week end with some friends we were waiting for another friend and we went to the meet him at the bus stop , a woman we met there told us that the coach had already left i was afraid that i would not see my friend , but at last we found him"
joy,"a very good friend of mine had been away for three months when we met again , we ran up to each other and embraced"
joy,i had an interview for entry into college the results were to be announced on radio after a long period of waiting the results were released i had succeded tension was relieved by joy
joy,when i fell in love
joy,"a good friend , the wife of the vicar of my church came up to me from the pews \( i am in the choir \) and shook my hand during the time for an informal greeting in the church service she said a few words"
joy,accepted by the college football team
joy,when i passed an important exam
joy,i passed my mce examination at first i was worried but when i heard my name i had joy in my heart and i arranged for a trip to attend a wedding ceremony
joy,"when i got my first unknown compound while doing my m sc research , i was very happy this is because my research was based on this type of reactions and compounds"
joy,when i drove partially across the country with my father we stopped in a few towns and stayed overnight in motels the joy i got was from the feedom i felt and the real beauty of the country
joy,when my present boyfriend asked me initially to go out with him i had waited a long time for this to occur
joy,when i married my wife and took her home for the first time
joy,always when i meet the person i love
joy,when i was selected to start form i at malosa secondary school
joy,my girlfriend wrote to me telling me that she was four months pregnant and that i was responsible for the damages this made me happy as i longed to have a child to call mine
joy,i was admited to the chinese university of hong kong the day the results were announced i looked in the newspaper and saw my candidature number
joy,"i did a solo flight from ardmore to kaikohe before i got my pilot licence i can remember it was gorgeous day and i was on a natural high , cruising up the coast with my maps and compasses and gear other pilots had seen me off and wished me good luck and it was a real adventure"
joy,a party with no worries \( i e no tests homework etc \) many friends were present and good music
joy,when i got the scholarship letter from australia
joy,"when i felt that an exam , which i had feared , was an easy one and went well"
joy,i unexpectedly met a girl with whom i have always got along well \( i had not seen her for several months \)
joy,when i passed my final examination at school
joy,when my elder sister had a baby girl she was the first girl in the family after 19 years of baby boys
joy,when i entered university
joy,a successful lesson
joy,"winning a race that i had been training for , for many weeks \( running race \)"
joy,i got to know that i had been accepted at university
joy,the day i got a letter from the u g c informing me that i had been awarded the junior research fellowship
joy,when i could study at university
joy,i felt joy when i heard that i was accepted for the free university in driebergen
joy,some time ago a close relative of mine got off cheap with the worst
joy,after intercourse
